Red Huffman Tree

(Color, Frequency, Huffman Representation, Total Bits)
( 24, 19895, 01111101101, 11 * 19895 )
( 28, 19838, 01111101110, 11 * 19838 )
( 32, 22672, 01111101000, 11 * 22672 )
( 36, 20812, 01111101011, 11 * 20812 )
( 40, 22076, 01111101001, 11 * 22076 )
( 44, 24283, 01111100010, 11 * 24283 )
( 48, 25267, 1111010111, 10 * 25267 )
( 52, 26187, 1111010110, 10 * 26187 )
( 56, 29780, 1111010101, 10 * 29780 )
( 60, 34526, 1111010100, 10 * 34526 )
( 64, 48854, 0111110000, 10 * 48854 )
( 68, 90639, 011111001, 9 * 90639 )
( 72, 151866, 11110100, 8 * 151866 )
( 76, 245331, 1111011, 7 * 245331 )
( 80, 401388, 0011010, 7 * 401388 )
( 84, 697768, 011110, 6 * 697768 )
( 88, 987720, 11111, 5 * 987720 )
( 92, 1163468, 10100, 5 * 1163468 )
( 96, 1237695, 10000, 5 * 1237695 )
( 100, 1551550, 00111, 5 * 1551550 )
( 104, 1410460, 01110, 5 * 1410460 )
( 108, 1212466, 10010, 5 * 1212466 )
( 112, 1122228, 11000, 5 * 1122228 )
( 116, 1088327, 11011, 5 * 1088327 )
( 120, 1106222, 11001, 5 * 1106222 )
( 124, 1210803, 10011, 5 * 1210803 )
( 128, 1433704, 01101, 5 * 1433704 )
( 132, 1677523, 00101, 5 * 1677523 )
( 136, 1826162, 00011, 5 * 1826162 )
( 140, 2242151, 1011, 4 * 2242151 )
( 144, 3114514, 0100, 4 * 3114514 )
( 148, 3849088, 0000, 4 * 3849088 )
( 152, 2991485, 0101, 4 * 2991485 )
( 156, 732560, 011001, 6 * 732560 )
( 160, 293791, 1010100, 7 * 293791 )
( 164, 298805, 1000111, 7 * 298805 )
( 168, 289226, 1010110, 7 * 289226 )
( 172, 286692, 1010111, 7 * 286692 )
( 176, 292836, 1010101, 7 * 292836 )
( 180, 341123, 0111111, 7 * 341123 )
( 184, 381172, 0011011, 7 * 381172 )
( 188, 443823, 0010001, 7 * 443823 )
( 192, 499916, 0001000, 7 * 499916 )
( 196, 534354, 111010, 6 * 534354 )
( 200, 543350, 111000, 6 * 543350 )
( 204, 547320, 110101, 6 * 547320 )
( 208, 521194, 111100, 6 * 521194 )
( 212, 543072, 111001, 6 * 543072 )
( 216, 522450, 111011, 6 * 522450 )
( 220, 466006, 0010000, 7 * 466006 )
( 224, 473826, 0001001, 7 * 473826 )
( 228, 555211, 110100, 6 * 555211 )
( 232, 611252, 100010, 6 * 611252 )
( 236, 765508, 011000, 6 * 765508 )
( 240, 874638, 001001, 6 * 874638 )
( 244, 966640, 000101, 6 * 966640 )
( 248, 845563, 001100, 6 * 845563 )
( 252, 306330, 1000110, 7 * 306330 )

With total of 28833077 bytes

Blue Huffman Tree

(Color, Frequency, Huffman Representation, Total Bits)

( 0, 6134, 0011100111110, 13 * 6134 )
( 2, 5633, 0011100111111, 13 * 5633 )
( 4, 6798, 0001001001001, 13 * 6798 )
( 6, 8536, 0001001001000, 13 * 8536 )
( 8, 10492, 100100010101, 12 * 10492 )
( 10, 11232, 010111011110, 12 * 11232 )
( 12, 11142, 010111011111, 12 * 11142 )
( 14, 11512, 010111011100, 12 * 11512 )
( 16, 10782, 100100000101, 12 * 10782 )
( 18, 10149, 100100011110, 12 * 10149 )
( 20, 10248, 100100011001, 12 * 10248 )
( 22, 10614, 100100010100, 12 * 10614 )
( 24, 10369, 100100010111, 12 * 10369 )
( 26, 10048, 100111000100, 12 * 10048 )
( 28, 9861, 100111000110, 12 * 9861 )
( 30, 10137, 100100011111, 12 * 10137 )
( 32, 11687, 010111010100, 12 * 11687 )
( 34, 12397, 001110011110, 12 * 12397 )
( 36, 12683, 001110011101, 12 * 12683 )
( 38, 12817, 001110011100, 12 * 12817 )
( 40, 11469, 010111011101, 12 * 11469 )
( 42, 10233, 100100011010, 12 * 10233 )
( 44, 9668, 100111001100, 12 * 9668 )
( 46, 9350, 100111001101, 12 * 9350 )
( 48, 9718, 100111000111, 12 * 9718 )
( 50, 9976, 100111000101, 12 * 9976 )
( 52, 10219, 100100011011, 12 * 10219 )
( 54, 10355, 100100011000, 12 * 10355 )
( 56, 10465, 100100010110, 12 * 10465 )
( 58, 10869, 100100000100, 12 * 10869 )
( 60, 11540, 010111010101, 12 * 11540 )
( 62, 13055, 000111100101, 12 * 13055 )
( 64, 14255, 000111100100, 12 * 14255 )
( 66, 15005, 000100100101, 12 * 15005 )
( 68, 15979, 000100100001, 12 * 15979 )
( 70, 17226, 000100100000, 12 * 17226 )
( 72, 18836, 10011100111, 11 * 18836 )
( 74, 20290, 10010001110, 11 * 20290 )
( 76, 21346, 10010000011, 11 * 21346 )
( 78, 23134, 01011101011, 11 * 23134 )
( 80, 26118, 00011110011, 11 * 26118 )
( 82, 28585, 00010010011, 11 * 28585 )
( 84, 31007, 00010010001, 11 * 31007 )
( 86, 33339, 1111100001, 10 * 33339 )
( 88, 34410, 1111100000, 10 * 34410 )
( 90, 35731, 1010101001, 10 * 35731 )
( 92, 36567, 1010101000, 10 * 36567 )
( 94, 38677, 1001110010, 10 * 38677 )
( 96, 39844, 1001110000, 10 * 39844 )
( 98, 41971, 1001000100, 10 * 41971 )
( 100, 44172, 1001000000, 10 * 44172 )
( 102, 45660, 0101110110, 10 * 45660 )
( 104, 47787, 0101110100, 10 * 47787 )
( 106, 51117, 0011100110, 10 * 51117 )
( 108, 56952, 0001111000, 10 * 56952 )
( 110, 67890, 101010101, 9 * 67890 )
( 112, 85858, 100100001, 9 * 85858 )
( 114, 102053, 001110010, 9 * 102053 )
( 116, 114412, 000100101, 9 * 114412 )
( 118, 129560, 11111001, 8 * 129560 )
( 120, 138104, 10101011, 8 * 138104 )
( 122, 154252, 10011101, 8 * 154252 )
( 124, 185300, 01011100, 8 * 185300 )
( 126, 216130, 00011111, 8 * 216130 )
( 128, 257583, 00001010, 8 * 257583 )
( 130, 307618, 1001111, 7 * 307618 )
( 132, 359255, 0101111, 7 * 359255 )
( 134, 415939, 0010111, 7 * 415939 )
( 136, 466992, 0001010, 7 * 466992 )
( 138, 514175, 0000100, 7 * 514175 )
( 140, 548940, 101101, 6 * 548940 )
( 142, 563514, 101011, 6 * 563514 )
( 144, 623724, 100110, 6 * 623724 )
( 146, 700460, 011011, 6 * 700460 )
( 148, 742223, 010100, 6 * 742223 )
( 150, 740428, 010101, 6 * 740428 )
( 152, 730940, 010110, 6 * 730940 )
( 154, 775749, 001111, 6 * 775749 )
( 156, 881766, 000110, 6 * 881766 )
( 158, 1004688, 000011, 6 * 1004688 )
( 160, 1080048, 11010, 5 * 1080048 )
( 162, 1086105, 11001, 5 * 1086105 )
( 164, 1049026, 11110, 5 * 1049026 )
( 166, 1054823, 11101, 5 * 1054823 )
( 168, 1099450, 10111, 5 * 1099450 )
( 170, 1238200, 10100, 5 * 1238200 )
( 172, 1460605, 01100, 5 * 1460605 )
( 174, 1685786, 00110, 5 * 1685786 )
( 176, 2032610, 00000, 5 * 2032610 )
( 178, 2638071, 1000, 4 * 2638071 )
( 180, 3021611, 0100, 4 * 3021611 )
( 182, 2648902, 0111, 4 * 2648902 )
( 184, 1694955, 00100, 5 * 1694955 )
( 186, 704984, 011010, 6 * 704984 )
( 188, 317353, 1001011, 7 * 317353 )
( 190, 250146, 00001011, 8 * 250146 )
( 192, 269022, 1101101, 7 * 269022 )
( 194, 273298, 1100001, 7 * 273298 )
( 196, 262095, 1111101, 7 * 262095 )
( 198, 267049, 1110000, 7 * 267049 )
( 200, 277773, 1011000, 7 * 277773 )
